time,open,high,low,close,Volume,Volume MA
1632816000,0.72747,0.72747,0.72622,0.7271,563,389
1632819600,0.7271,0.7272,0.72519,0.7254,485,352.9
1632823200,0.7254,0.72547,0.72419,0.72443,659,343.65
1632826800,0.72443,0.72606,0.72418,0.72544,890,359.8
1632830400,0.72544,0.72548,0.72304,0.72395,1095,401.6
1632834000,0.72395,0.72566,0.72323,0.72438,1421,463.2
1632837600,0.72438,0.72521,0.72296,0.72392,2737,591.45
1632841200,0.72392,0.72449,0.72306,0.72358,1336,649.25
1632844800,0.72358,0.72432,0.72304,0.7232,589,672.75
1632848400,0.7232,0.72406,0.72285,0.72334,595,698.9
1632852000,0.72334,0.72426,0.72257,0.72404,609,726.35
1632855600,0.72404,0.72418,0.72337,0.72397,629,752.9
1632859200,0.72397,0.72437,0.72382,0.72382,141,745.2
1632862800,0.72382,0.7243,0.72382,0.72397,48,732.75
1632866400,0.72397,0.7245,0.72397,0.72421,104,723.25
1632870000,0.72421,0.72445,0.72382,0.7244,134,717.1
1632873600,0.7244,0.72506,0.72378,0.72402,448,730
1632877200,0.72402,0.72453,0.72273,0.72351,896,758
1632880800,0.72351,0.72444,0.7232,0.72402,535,747.3
1632884400,0.72402,0.7251,0.72394,0.72495,377,714.55
1632888000,0.72495,0.72545,0.72474,0.725,283,700.55
1632891600,0.725,0.72558,0.72455,0.72502,531,702.85
1632895200,0.72502,0.72592,0.72474,0.72511,1006,720.2
1632898800,0.72511,0.72641,0.72361,0.72485,1089,730.15
1632902400,0.72485,0.72566,0.7247,0.7248,717,711.25
1632906000,0.7248,0.72513,0.72388,0.72436,466,663.5
1632909600,0.72436,0.7246,0.72368,0.72416,325,542.9
1632913200,0.72416,0.72424,0.72232,0.7231,538,503
1632916800,0.7231,0.72366,0.72053,0.72073,820,514.55
1632920400,0.72073,0.72096,0.71883,0.71998,1186,544.1
1632924000,0.71998,0.72085,0.71815,0.71887,1477,587.5
1632927600,0.71887,0.71955,0.71829,0.71886,713,591.7
1632931200,0.71886,0.71926,0.71788,0.718,457,607.5
1632934800,0.718,0.71828,0.71731,0.71774,446,627.4
1632938400,0.71774,0.71901,0.71746,0.71842,397,642.05
1632942000,0.71842,0.71857,0.71706,0.7174,312,650.95
1632945600,0.7174,0.71776,0.71724,0.71758,129,635
1632949200,0.71758,0.71792,0.71735,0.7178,65,593.45
1632952800,0.7178,0.7181,0.71752,0.71768,116,572.5
1632956400,0.71768,0.71817,0.71756,0.7179,135,560.4
1632960000,0.7179,0.71944,0.7177,0.71912,499,571.2
1632963600,0.71912,0.71967,0.71852,0.71948,619,575.6
1632967200,0.71948,0.72048,0.71944,0.72044,304,540.5
1632970800,0.72044,0.72074,0.7202,0.72033,213,496.7
1632974400,0.72033,0.72049,0.71982,0.7201,168,469.25
1632978000,0.7201,0.72096,0.71995,0.72044,310,461.45
1632981600,0.72044,0.7213,0.72002,0.72038,546,472.5
1632985200,0.72038,0.72126,0.71893,0.72087,965,493.85
1632988800,0.72087,0.72144,0.71994,0.72032,527,479.2
1632992400,0.72032,0.72069,0.71992,0.72012,375,438.65
1632996000,0.72012,0.72034,0.71873,0.71885,457,387.65
1632999600,0.71885,0.7197,0.71878,0.71948,445,374.25
1633003200,0.71948,0.72136,0.71934,0.72099,922,397.5
1633006800,0.72099,0.72302,0.72013,0.72239,1439,447.15
1633010400,0.72239,0.72392,0.72175,0.72223,1969,525.75
1633014000,0.72223,0.72571,0.72223,0.72287,1761,598.2
1633017600,0.72287,0.72307,0.72067,0.7213,1259,654.7
1633021200,0.7213,0.72198,0.72108,0.72178,795,691.2
1633024800,0.72178,0.72323,0.7217,0.72317,683,719.55
1633028400,0.72317,0.72372,0.72262,0.72266,588,742.2
1633032000,0.72266,0.72307,0.72242,0.72272,205,727.5
1633035600,0.72272,0.72312,0.72244,0.72282,103,701.7
1633039200,0.72282,0.72314,0.72272,0.72308,68,689.9
1633042800,0.72308,0.72308,0.72261,0.7229,124,685.45
1633046400,0.7229,0.72409,0.72256,0.72274,650,709.55
1633050000,0.72274,0.7229,0.72192,0.72264,988,743.45
1633053600,0.72264,0.7227,0.72206,0.72225,357,734
1633057200,0.72225,0.72269,0.72165,0.72181,318,701.65
1633060800,0.72181,0.72196,0.72096,0.7214,243,687.45
1633064400,0.7214,0.72148,0.72056,0.72106,384,687.9
1633068000,0.72106,0.72146,0.71921,0.72026,1077,718.9
1633071600,0.72026,0.72112,0.71968,0.72052,1383,765.8
1633075200,0.72052,0.72303,0.72032,0.72293,828,761.1
1633078800,0.72293,0.72438,0.72282,0.72343,628,720.55
1633082400,0.72343,0.72466,0.72324,0.72378,472,645.7
1633086000,0.72378,0.72605,0.72374,0.726,673,591.3
1633089600,0.726,0.72616,0.72467,0.72574,982,577.45
1633093200,0.72574,0.72708,0.72564,0.72634,1275,601.45
1633096800,0.72634,0.72745,0.7254,0.7258,2108,672.7
1633100400,0.7258,0.72743,0.72492,0.72704,1098,698.2
1633104000,0.72704,0.7275,0.72673,0.72696,601,718
1633107600,0.72696,0.72764,0.72674,0.72734,425,734.1
1633111200,0.72734,0.72743,0.72661,0.72662,355,748.45
1633114800,0.72662,0.72726,0.72632,0.7267,328,758.65
1633118400,0.7267,0.72694,0.72538,0.72599,572,754.75
1633294800,0.72599,0.72692,0.72596,0.72616,35,707.1
1633298400,0.72616,0.72829,0.72616,0.72774,347,706.6
1633302000,0.72774,0.72812,0.72748,0.72748,195,700.45
1633305600,0.72748,0.72829,0.72643,0.72659,462,711.4
1633309200,0.72659,0.72684,0.72519,0.72572,585,721.45
1633312800,0.72572,0.7265,0.72524,0.72612,473,691.25
1633316400,0.72612,0.72654,0.7258,0.72622,256,634.9
1633320000,0.72622,0.72724,0.72608,0.72714,232,605.1
1633323600,0.72714,0.72755,0.7267,0.7269,299,588.65
1633327200,0.7269,0.72724,0.72592,0.72622,735,601.8
1633330800,0.72622,0.72663,0.72521,0.72653,1234,629.85
1633334400,0.72653,0.727,0.72514,0.72636,756,618.55
1633338000,0.72636,0.72774,0.7263,0.72687,711,590.35
1633341600,0.72687,0.72796,0.72672,0.72778,469,508.4
1633345200,0.72778,0.7289,0.72741,0.7289,506,478.8
1633348800,0.7289,0.72968,0.7287,0.72924,630,480.25
1633352400,0.72924,0.72996,0.72852,0.72982,919,504.95
1633356000,0.72982,0.7304,0.72763,0.72816,1564,565.4
1633359600,0.72816,0.72847,0.72724,0.72829,894,593.7
1633363200,0.72829,0.72887,0.7281,0.72857,508,590.5
1633366800,0.72857,0.72889,0.72826,0.72836,489,613.2
1633370400,0.72836,0.72915,0.72812,0.72899,615,626.6
1633374000,0.72899,0.72914,0.72821,0.72888,504,642.05
1633377600,0.72888,0.72904,0.72811,0.72823,105,624.2
1633381200,0.72823,0.72913,0.72823,0.72894,81,599
1633384800,0.72894,0.7294,0.72876,0.72921,118,581.25
1633388400,0.72921,0.72941,0.72862,0.72894,208,578.85
1633392000,0.72894,0.72934,0.72772,0.72788,606,597.55
1633395600,0.72788,0.72802,0.72624,0.72658,712,618.2
1633399200,0.72658,0.72781,0.72632,0.72754,515,607.2
1633402800,0.72754,0.72776,0.72643,0.72674,474,569.2
1633406400,0.72674,0.72682,0.726,0.72653,291,545.95
1633410000,0.72653,0.72674,0.72527,0.72571,471,533.95
1633413600,0.72571,0.72636,0.72492,0.72594,614,541.2
1633417200,0.72594,0.72737,0.72558,0.72684,827,557.25
1633420800,0.72684,0.72804,0.72678,0.72792,493,550.4
1633424400,0.72792,0.72822,0.72754,0.7281,285,518.7
1633428000,0.7281,0.72823,0.72664,0.72681,305,455.75
1633431600,0.72681,0.72802,0.72657,0.72792,390,430.55
1633435200,0.72792,0.72876,0.72786,0.72822,458,428.05
1633438800,0.72822,0.72842,0.72676,0.72821,1220,464.6
1633442400,0.72821,0.72942,0.72775,0.72822,1119,489.8
1633446000,0.72822,0.72984,0.72786,0.72952,563,492.75
1633449600,0.72952,0.72964,0.72875,0.72946,300,502.5
1633453200,0.72946,0.72995,0.72934,0.72988,208,508.85
1633456800,0.72988,0.73012,0.72913,0.72913,231,514.5
1633460400,0.72913,0.7292,0.7287,0.7288,194,513.8
1633464000,0.7288,0.7292,0.72877,0.7292,114,489.2
1633467600,0.7292,0.7295,0.72854,0.72881,122,459.7
1633471200,0.72881,0.72932,0.72875,0.72908,102,439.05
1633474800,0.72908,0.72911,0.72868,0.7288,123,421.5
1633478400,0.7288,0.72886,0.72814,0.72852,473,430.6
1633482000,0.72852,0.72922,0.72641,0.72691,1217,467.9
1633485600,0.72691,0.72735,0.72616,0.72663,599,467.15
1633489200,0.72663,0.72684,0.72607,0.72663,374,444.5
1633492800,0.72663,0.72672,0.72538,0.72592,368,438.25
1633496400,0.72592,0.72683,0.72585,0.72588,487,448.35
1633500000,0.72588,0.72662,0.7255,0.72574,577,461.95
1633503600,0.72574,0.72574,0.7232,0.72332,1304,507.65
1633507200,0.72332,0.72392,0.72268,0.72321,865,528
1633510800,0.72321,0.72358,0.7226,0.72328,719,502.95
1633514400,0.72328,0.72393,0.72272,0.72385,546,474.3
1633518000,0.72385,0.72458,0.72369,0.7244,538,473.05
1633521600,0.7244,0.72641,0.7244,0.72558,1142,515.15
1633525200,0.72558,0.72677,0.72442,0.72498,1375,573.5
1633528800,0.72498,0.72632,0.72428,0.72595,1713,647.6
1633532400,0.72595,0.7262,0.72415,0.72564,928,684.3
1633536000,0.72564,0.72589,0.72467,0.72498,616,709.4
1633539600,0.72498,0.7266,0.7247,0.72642,555,731.05
1633543200,0.72642,0.72724,0.72632,0.727,666,759.25
1633546800,0.727,0.72763,0.7269,0.7275,395,772.85
1633550400,0.7275,0.7276,0.72718,0.7272,73,752.85
1633554000,0.7272,0.72745,0.72698,0.72712,105,697.25
1633557600,0.72712,0.72782,0.72704,0.7276,147,674.65
1633561200,0.7276,0.72836,0.72752,0.72822,242,668.05
1633564800,0.72822,0.72856,0.7276,0.72838,532,676.25
1633568400,0.72838,0.729,0.72788,0.72872,439,673.85
1633572000,0.72872,0.72876,0.72798,0.72818,255,657.75
1633575600,0.72818,0.72856,0.72777,0.72846,186,601.85
1633579200,0.72846,0.72874,0.72796,0.72798,170,567.1
1633582800,0.72798,0.72822,0.72709,0.7272,352,548.75
1633586400,0.7272,0.72975,0.7272,0.72965,550,548.95
1633590000,0.72965,0.7302,0.72919,0.72944,759,560
1633593600,0.72944,0.72982,0.72826,0.7289,586,532.2
1633597200,0.7289,0.7289,0.72799,0.72833,425,484.7
1633600800,0.72833,0.72955,0.72833,0.72955,285,413.3
1633604400,0.72955,0.73123,0.72941,0.73045,581,395.95
1633608000,0.73045,0.73048,0.72891,0.72908,679,399.1
1633611600,0.72908,0.72988,0.7277,0.7296,1162,429.45
1633615200,0.7296,0.73124,0.72956,0.73096,797,436
1633618800,0.73096,0.73241,0.7307,0.73208,511,441.8
1633622400,0.73208,0.73216,0.7311,0.73128,297,453
1633626000,0.73128,0.73194,0.731,0.73162,208,458.15
1633629600,0.73162,0.73164,0.73079,0.73101,269,464.25
1633633200,0.73101,0.73148,0.73085,0.73131,281,466.2
1633636800,0.73131,0.73148,0.73097,0.7313,94,444.3
1633640400,0.7313,0.73146,0.73107,0.73132,84,426.55
1633644000,0.73132,0.73158,0.73114,0.73124,114,419.5
1633647600,0.73124,0.73174,0.731,0.73168,167,418.55
1633651200,0.73168,0.73205,0.73074,0.73205,603,440.2
1633654800,0.73205,0.73238,0.73142,0.73162,581,451.65
1633658400,0.73162,0.73198,0.73131,0.73176,392,443.75
1633662000,0.73176,0.73176,0.73042,0.7306,289,420.25
1633665600,0.7306,0.73097,0.72977,0.72978,324,407.15
1633669200,0.72978,0.73014,0.72944,0.72944,433,407.55
1633672800,0.72944,0.73005,0.72934,0.72954,522,419.4
1633676400,0.72954,0.72985,0.72883,0.72938,860,433.35
1633680000,0.72938,0.72974,0.72884,0.72944,430,420.9
1633683600,0.72944,0.73014,0.72934,0.72992,366,381.1
1633687200,0.72992,0.73056,0.72974,0.73009,297,356.1
1633690800,0.73009,0.73048,0.72996,0.73042,226,341.85
1633694400,0.73042,0.73382,0.73026,0.73272,2661,460.05
1633698000,0.73272,0.73306,0.72984,0.7309,2206,559.95
1633701600,0.7309,0.73168,0.73012,0.7313,1620,627.5
1633705200,0.7313,0.73199,0.73058,0.7308,694,648.15
1633708800,0.7308,0.73086,0.73009,0.73072,330,659.95
1633712400,0.73072,0.73081,0.72998,0.73073,326,672.05
1633716000,0.73073,0.73152,0.73073,0.73128,253,679
1633719600,0.73128,0.73144,0.73074,0.73107,194,680.35
1633723200,0.73107,0.73108,0.7307,0.73075,138,657.1
1633899600,0.73075,0.73094,0.73032,0.7305,104,633.25
1633903200,0.7305,0.73148,0.73032,0.73032,269,627.1
1633906800,0.73032,0.73044,0.72923,0.72946,274,626.35
1633910400,0.72946,0.73192,0.72941,0.7315,454,632.85
1633914000,0.7315,0.73308,0.73144,0.73253,478,635.1
1633917600,0.73253,0.73294,0.7323,0.73232,285,623.25
1633921200,0.73232,0.73248,0.73154,0.73178,254,592.95
1633924800,0.73178,0.73196,0.73154,0.73186,145,578.7
1633928400,0.73186,0.73298,0.73158,0.73298,303,575.55
1633932000,0.73298,0.73392,0.73298,0.73351,792,600.3
1633935600,0.73351,0.73442,0.73297,0.73426,779,627.95
1633939200,0.73426,0.73456,0.73352,0.73436,498,519.8
1633942800,0.73436,0.73449,0.73328,0.73361,449,431.95
1633946400,0.73361,0.73388,0.7331,0.7337,342,368.05
1633950000,0.7337,0.73498,0.73352,0.73434,422,354.45
1633953600,0.73434,0.73522,0.73388,0.73406,609,368.4
1633957200,0.73406,0.73654,0.73394,0.73633,886,396.4
1633960800,0.73633,0.73707,0.73618,0.73668,547,411.1
1633964400,0.73668,0.73728,0.73646,0.7368,340,418.4
1633968000,0.7368,0.7368,0.73598,0.73615,270,425
1633971600,0.73615,0.73615,0.73514,0.73528,360,437.8
1633975200,0.73528,0.7355,0.73484,0.73534,266,437.65
1633978800,0.73534,0.73548,0.73436,0.73436,346,441.25
1633982400,0.73436,0.73489,0.73428,0.73478,128,424.95
1633986000,0.73478,0.73537,0.73409,0.73478,83,405.2
1633989600,0.73478,0.73531,0.7346,0.7346,175,399.7
1633993200,0.7346,0.7349,0.73452,0.7348,148,394.4
1633996800,0.7348,0.735,0.73369,0.73374,543,414.3
1634000400,0.73374,0.73416,0.73324,0.73374,569,427.6
1634004000,0.73374,0.7346,0.73368,0.73403,357,405.85
1634007600,0.73403,0.73428,0.73356,0.73372,221,377.95
1634011200,0.73372,0.73476,0.73372,0.73476,192,362.65
1634014800,0.73476,0.73612,0.73476,0.73562,319,356.15
1634018400,0.73562,0.73578,0.73442,0.73472,607,369.4
